"order_id","customer_id","order_date","region","channel","product_category","product_name","quantity","sales_amount","discount","order_status"
"ORD0001","C0002","2026-06-01","East","Online","electronics","electronics-item-1","2","117","0.05","completed"
"ORD0002","C0003","2026-06-01","East","Online","electronics","electronics-item-2","3","154","0.10","completed"
"ORD0003","C0004","2026-06-01","East","Online","electronics","electronics-item-3","4","191","0.15","cancelled"
"ORD0004","C0005","2026-06-01","East","Online","office","office-item-1","5","228","0.00","refunded"
"ORD0005","C0006","2026-06-01","East","Online","office","office-item-2","1","265","0.05","completed"
"ORD0006","C0007","2026-06-01","East","Online","office","office-item-3","2","302","0.10","completed"
"ORD0007","C0008","2026-06-01","East","Online","home","home-item-1","3","339","0.15","completed"
"ORD0008","C0009","2026-06-01","East","Online","home","home-item-2","4","376","0.00","cancelled"
"ORD0009","C0010","2026-06-01","East","Online","home","home-item-3","5","413","0.05","refunded"
"ORD0010","C0011","2026-06-01","East","Online","apparel","apparel-item-1","1","450","0.10","completed"
"ORD0011","C0012","2026-06-01","East","Online","apparel","apparel-item-2","2","487","0.15","completed"
"ORD0012","C0013","2026-06-01","East","Online","apparel","apparel-item-3","3","524","0.00","completed"
"ORD0013","C0014","2026-06-01","East","Online","food","food-item-1","4","561","0.05","cancelled"
"ORD0014","C0015","2026-06-01","East","Online","food","food-item-2","5","598","0.10","refunded"
"ORD0015","C0016","2026-06-01","East","Online","food","food-item-3","1","635","0.15","completed"
"ORD0016","C0017","2026-06-01","East","Online","beauty","beauty-item-1","2","672","0.00","completed"
"ORD0017","C0018","2026-06-01","East","Online","beauty","beauty-item-2","3","709","0.05","completed"
"ORD0018","C0019","2026-06-01","East","Online","beauty","beauty-item-3","4","746","0.10","cancelled"
"ORD0019","C0020","2026-06-01","East","Retail","electronics","electronics-item-1","5","783","0.15","refunded"
"ORD0020","C0021","2026-06-01","East","Retail","electronics","electronics-item-2","1","820","0.00","completed"
"ORD0021","C0022","2026-06-01","East","Retail","electronics","electronics-item-3","2","857","0.05","completed"
"ORD0022","C0023","2026-06-01","East","Retail","office","office-item-1","3","894","0.10","completed"
"ORD0023","C0024","2026-06-01","East","Retail","office","office-item-2","4","931","0.15","cancelled"
"ORD0024","C0025","2026-06-01","East","Retail","office","office-item-3","5","968","0.00","refunded"
"ORD0025","C0026","2026-06-01","East","Retail","home","home-item-1","1","1005","0.05","completed"
"ORD0026","C0027","2026-06-01","East","Retail","home","home-item-2","2","1042","0.10","completed"
"ORD0027","C0028","2026-06-01","East","Retail","home","home-item-3","3","1079","0.15","completed"
"ORD0028","C0029","2026-06-01","East","Retail","apparel","apparel-item-1","4","1116","0.00","cancelled"
"ORD0029","C0030","2026-06-01","East","Retail","apparel","apparel-item-2","5","1153","0.05","refunded"
"ORD0030","C0031","2026-06-01","East","Retail","apparel","apparel-item-3","1","1190","0.10","completed"
"ORD0031","C0032","2026-06-01","East","Retail","food","food-item-1","2","1227","0.15","completed"
"ORD0032","C0033","2026-06-01","East","Retail","food","food-item-2","3","1264","0.00","completed"
"ORD0033","C0034","2026-06-01","East","Retail","food","food-item-3","4","101","0.05","cancelled"
"ORD0034","C0035","2026-06-01","East","Retail","beauty","beauty-item-1","5","138","0.10","refunded"
"ORD0035","C0036","2026-06-01","East","Retail","beauty","beauty-item-2","1","175","0.15","completed"
"ORD0036","C0037","2026-06-01","East","Retail","beauty","beauty-item-3","2","212","0.00","completed"
"ORD0037","C0038","2026-06-01","East","Distributor","electronics","electronics-item-1","3","249","0.05","completed"
"ORD0038","C0039","2026-06-01","East","Distributor","electronics","electronics-item-2","4","286","0.10","cancelled"
"ORD0039","C0040","2026-06-01","East","Distributor","electronics","electronics-item-3","5","323","0.15","refunded"
"ORD0040","C0041","2026-06-01","East","Distributor","office","office-item-1","1","360","0.00","completed"
"ORD0041","C0042","2026-06-01","East","Distributor","office","office-item-2","2","397","0.05","completed"
"ORD0042","C0043","2026-06-01","East","Distributor","office","office-item-3","3","434","0.10","completed"
"ORD0043","C0044","2026-06-01","East","Distributor","home","home-item-1","4","471","0.15","cancelled"
"ORD0044","C0045","2026-06-01","East","Distributor","home","home-item-2","5","508","0.00","refunded"
"ORD0045","C0046","2026-06-01","East","Distributor","home","home-item-3","1","545","0.05","completed"
"ORD0046","C0047","2026-06-01","East","Distributor","apparel","apparel-item-1","2","582","0.10","completed"
"ORD0047","C0048","2026-06-01","East","Distributor","apparel","apparel-item-2","3","619","0.15","completed"
"ORD0048","C0049","2026-06-01","East","Distributor","apparel","apparel-item-3","4","656","0.00","cancelled"
"ORD0049","C0050","2026-06-01","East","Distributor","food","food-item-1","5","693","0.05","refunded"
"ORD0050","C0051","2026-06-01","East","Distributor","food","food-item-2","1","730","0.10","completed"
"ORD0051","C0052","2026-06-01","East","Distributor","food","food-item-3","2","767","0.15","completed"
"ORD0052","C0053","2026-06-01","East","Distributor","beauty","beauty-item-1","3","804","0.00","completed"
"ORD0053","C0054","2026-06-01","East","Distributor","beauty","beauty-item-2","4","841","0.05","cancelled"
"ORD0054","C0055","2026-06-01","East","Distributor","beauty","beauty-item-3","5","878","0.10","refunded"
"ORD0055","C0056","2026-06-01","North","Online","electronics","electronics-item-1","1","915","0.15","completed"
"ORD0056","C0057","2026-06-01","North","Online","electronics","electronics-item-2","2","952","0.00","completed"
"ORD0057","C0058","2026-06-01","North","Online","electronics","electronics-item-3","3","989","0.05","completed"
"ORD0058","C0059","2026-06-01","North","Online","office","office-item-1","4","1026","0.10","cancelled"
"ORD0059","C0060","2026-06-01","North","Online","office","office-item-2","5","1063","0.15","refunded"
"ORD0060","C0061","2026-06-01","North","Online","office","office-item-3","1","1100","0.00","completed"
"ORD0061","C0062","2026-06-01","North","Online","home","home-item-1","2","1137","0.05","completed"
"ORD0062","C0063","2026-06-01","North","Online","home","home-item-2","3","1174","0.10","completed"
"ORD0063","C0064","2026-06-01","North","Online","home","home-item-3","4","1211","0.15","cancelled"
"ORD0064","C0065","2026-06-01","North","Online","apparel","apparel-item-1","5","1248","0.00","refunded"
"ORD0065","C0066","2026-06-01","North","Online","apparel","apparel-item-2","1","85","0.05","completed"
"ORD0066","C0067","2026-06-01","North","Online","apparel","apparel-item-3","2","122","0.10","completed"
"ORD0067","C0068","2026-06-01","North","Online","food","food-item-1","3","159","0.15","completed"
"ORD0068","C0069","2026-06-01","North","Online","food","food-item-2","4","196","0.00","cancelled"
"ORD0069","C0070","2026-06-01","North","Online","food","food-item-3","5","233","0.05","refunded"
"ORD0070","C0071","2026-06-01","North","Online","beauty","beauty-item-1","1","270","0.10","completed"
"ORD0071","C0072","2026-06-01","North","Online","beauty","beauty-item-2","2","307","0.15","completed"
"ORD0072","C0073","2026-06-01","North","Online","beauty","beauty-item-3","3","344","0.00","completed"
"ORD0073","C0074","2026-06-01","North","Retail","electronics","electronics-item-1","4","381","0.05","cancelled"
"ORD0074","C0075","2026-06-01","North","Retail","electronics","electronics-item-2","5","418","0.10","refunded"
"ORD0075","C0076","2026-06-01","North","Retail","electronics","electronics-item-3","1","455","0.15","completed"
"ORD0076","C0077","2026-06-01","North","Retail","office","office-item-1","2","492","0.00","completed"
"ORD0077","C0078","2026-06-01","North","Retail","office","office-item-2","3","529","0.05","completed"
"ORD0078","C0079","2026-06-01","North","Retail","office","office-item-3","4","566","0.10","cancelled"
"ORD0079","C0080","2026-06-01","North","Retail","home","home-item-1","5","603","0.15","refunded"
"ORD0080","C0001","2026-06-01","North","Retail","home","home-item-2","1","640","0.00","completed"
"ORD0081","C0002","2026-06-01","North","Retail","home","home-item-3","2","677","0.05","completed"
"ORD0082","C0003","2026-06-01","North","Retail","apparel","apparel-item-1","3","714","0.10","completed"
"ORD0083","C0004","2026-06-01","North","Retail","apparel","apparel-item-2","4","751","0.15","cancelled"
"ORD0084","C0005","2026-06-01","North","Retail","apparel","apparel-item-3","5","788","0.00","refunded"
"ORD0085","C0006","2026-06-01","North","Retail","food","food-item-1","1","825","0.05","completed"
"ORD0086","C0007","2026-06-01","North","Retail","food","food-item-2","2","862","0.10","completed"
"ORD0087","C0008","2026-06-01","North","Retail","food","food-item-3","3","899","0.15","completed"
"ORD0088","C0009","2026-06-01","North","Retail","beauty","beauty-item-1","4","936","0.00","cancelled"
"ORD0089","C0010","2026-06-01","North","Retail","beauty","beauty-item-2","5","973","0.05","refunded"
"ORD0090","C0011","2026-06-01","North","Retail","beauty","beauty-item-3","1","1010","0.10","completed"
"ORD0091","C0012","2026-06-01","North","Distributor","electronics","electronics-item-1","2","1047","0.15","completed"
"ORD0092","C0013","2026-06-01","North","Distributor","electronics","electronics-item-2","3","1084","0.00","completed"
"ORD0093","C0014","2026-06-01","North","Distributor","electronics","electronics-item-3","4","1121","0.05","cancelled"
"ORD0094","C0015","2026-06-01","North","Distributor","office","office-item-1","5","1158","0.10","refunded"
"ORD0095","C0016","2026-06-01","North","Distributor","office","office-item-2","1","1195","0.15","completed"
"ORD0096","C0017","2026-06-01","North","Distributor","office","office-item-3","2","1232","0.00","completed"
"ORD0097","C0018","2026-06-01","North","Distributor","home","home-item-1","3","1269","0.05","completed"
"ORD0098","C0019","2026-06-01","North","Distributor","home","home-item-2","4","106","0.10","cancelled"
"ORD0099","C0020","2026-06-01","North","Distributor","home","home-item-3","5","143","0.15","refunded"
"ORD0100","C0021","2026-06-01","North","Distributor","apparel","apparel-item-1","1","180","0.00","completed"
"ORD0101","C0022","2026-06-01","North","Distributor","apparel","apparel-item-2","2","217","0.05","completed"
"ORD0102","C0023","2026-06-01","North","Distributor","apparel","apparel-item-3","3","254","0.10","completed"
"ORD0103","C0024","2026-06-01","North","Distributor","food","food-item-1","4","291","0.15","cancelled"
"ORD0104","C0025","2026-06-01","North","Distributor","food","food-item-2","5","328","0.00","refunded"
"ORD0105","C0026","2026-06-01","North","Distributor","food","food-item-3","1","365","0.05","completed"
"ORD0106","C0027","2026-06-01","North","Distributor","beauty","beauty-item-1","2","402","0.10","completed"
"ORD0107","C0028","2026-06-01","North","Distributor","beauty","beauty-item-2","3","439","0.15","completed"
"ORD0108","C0029","2026-06-01","North","Distributor","beauty","beauty-item-3","4","476","0.00","cancelled"
"ORD0109","C0030","2026-06-01","South","Online","electronics","electronics-item-1","5","513","0.05","refunded"
"ORD0110","C0031","2026-06-01","South","Online","electronics","electronics-item-2","1","550","0.10","completed"
"ORD0111","C0032","2026-06-01","South","Online","electronics","electronics-item-3","2","587","0.15","completed"
"ORD0112","C0033","2026-06-01","South","Online","office","office-item-1","3","624","0.00","completed"
"ORD0113","C0034","2026-06-01","South","Online","office","office-item-2","4","661","0.05","cancelled"
"ORD0114","C0035","2026-06-01","South","Online","office","office-item-3","5","698","0.10","refunded"
"ORD0115","C0036","2026-06-01","South","Online","home","home-item-1","1","735","0.15","completed"
"ORD0116","C0037","2026-06-01","South","Online","home","home-item-2","2","772","0.00","completed"
"ORD0117","C0038","2026-06-01","South","Online","home","home-item-3","3","809","0.05","completed"
"ORD0118","C0039","2026-06-01","South","Online","apparel","apparel-item-1","4","846","0.10","cancelled"
"ORD0119","C0040","2026-06-01","South","Online","apparel","apparel-item-2","5","883","0.15","refunded"
"ORD0120","C0041","2026-06-01","South","Online","apparel","apparel-item-3","1","920","0.00","completed"
"ORD0121","C0042","2026-06-01","South","Online","food","food-item-1","2","957","0.05","completed"
"ORD0122","C0043","2026-06-01","South","Online","food","food-item-2","3","994","0.10","completed"
"ORD0123","C0044","2026-06-01","South","Online","food","food-item-3","4","1031","0.15","cancelled"
"ORD0124","C0045","2026-06-01","South","Online","beauty","beauty-item-1","5","1068","0.00","refunded"
"ORD0125","C0046","2026-06-01","South","Online","beauty","beauty-item-2","1","1105","0.05","completed"
"ORD0126","C0047","2026-06-01","South","Online","beauty","beauty-item-3","2","1142","0.10","completed"
"ORD0127","C0048","2026-06-01","South","Retail","electronics","electronics-item-1","3","1179","0.15","completed"
"ORD0128","C0049","2026-06-01","South","Retail","electronics","electronics-item-2","4","1216","0.00","cancelled"
"ORD0129","C0050","2026-06-01","South","Retail","electronics","electronics-item-3","5","1253","0.05","refunded"
"ORD0130","C0051","2026-06-01","South","Retail","office","office-item-1","1","90","0.10","completed"
"ORD0131","C0052","2026-06-01","South","Retail","office","office-item-2","2","127","0.15","completed"
"ORD0132","C0053","2026-06-01","South","Retail","office","office-item-3","3","164","0.00","completed"
"ORD0133","C0054","2026-06-01","South","Retail","home","home-item-1","4","201","0.05","cancelled"
"ORD0134","C0055","2026-06-01","South","Retail","home","home-item-2","5","238","0.10","refunded"
"ORD0135","C0056","2026-06-01","South","Retail","home","home-item-3","1","275","0.15","completed"
"ORD0136","C0057","2026-06-01","South","Retail","apparel","apparel-item-1","2","312","0.00","completed"
"ORD0137","C0058","2026-06-01","South","Retail","apparel","apparel-item-2","3","349","0.05","completed"
"ORD0138","C0059","2026-06-01","South","Retail","apparel","apparel-item-3","4","386","0.10","cancelled"
"ORD0139","C0060","2026-06-01","South","Retail","food","food-item-1","5","423","0.15","refunded"
"ORD0140","C0061","2026-06-01","South","Retail","food","food-item-2","1","460","0.00","completed"
"ORD0141","C0062","2026-06-01","South","Retail","food","food-item-3","2","497","0.05","completed"
"ORD0142","C0063","2026-06-01","South","Retail","beauty","beauty-item-1","3","534","0.10","completed"
"ORD0143","C0064","2026-06-01","South","Retail","beauty","beauty-item-2","4","571","0.15","cancelled"
"ORD0144","C0065","2026-06-01","South","Retail","beauty","beauty-item-3","5","608","0.00","refunded"
"ORD0145","C0066","2026-06-01","South","Distributor","electronics","electronics-item-1","1","645","0.05","completed"
"ORD0146","C0067","2026-06-01","South","Distributor","electronics","electronics-item-2","2","682","0.10","completed"
"ORD0147","C0068","2026-06-01","South","Distributor","electronics","electronics-item-3","3","719","0.15","completed"
"ORD0148","C0069","2026-06-01","South","Distributor","office","office-item-1","4","756","0.00","cancelled"
"ORD0149","C0070","2026-06-01","South","Distributor","office","office-item-2","5","793","0.05","refunded"
"ORD0150","C0071","2026-06-01","South","Distributor","office","office-item-3","1","830","0.10","completed"
"ORD0151","C0072","2026-06-01","South","Distributor","home","home-item-1","2","867","0.15","completed"
"ORD0152","C0073","2026-06-01","South","Distributor","home","home-item-2","3","904","0.00","completed"
"ORD0153","C0074","2026-06-01","South","Distributor","home","home-item-3","4","941","0.05","cancelled"
"ORD0154","C0075","2026-06-01","South","Distributor","apparel","apparel-item-1","5","978","0.10","refunded"
"ORD0155","C0076","2026-06-01","South","Distributor","apparel","apparel-item-2","1","1015","0.15","completed"
"ORD0156","C0077","2026-06-01","South","Distributor","apparel","apparel-item-3","2","1052","0.00","completed"
